,Country,GDP,Armed Forces size,Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Physicians per thousand,Population: Labor force participation (%),Urban_population,Latitude
24,Brunei,13469422941.0,8000.0,31.4,9.8,75.7,433285.0,1.61,64.7,337711.0,4.535277
25,Bulgaria,86000000000.0,31000.0,71.0,5.9,74.9,6975761.0,4.03,55.4,5256027.0,42.733883
26,Burkina Faso,15745810235.0,11000.0,6.5,49.0,61.2,20321378.0,0.08,66.4,6092349.0,12.238333
27,Burundi,3012334882.0,31000.0,6.1,41.0,61.2,11530580.0,0.1,79.2,1541177.0,-3.373056
28,Ivory Coast,58792205642.0,27000.0,9.3,59.4,57.4,25716544.0,0.23,57.0,13176900.0,7.539989
29,Cape Verde,1981845741.0,1000.0,23.6,16.7,72.8,483628.0,0.77,60.5,364029.0,16.5388
30,Cambodia,27089389787.0,191000.0,13.7,24.0,69.6,16486542.0,0.17,82.3,3924621.0,12.565679
31,Cameroon,38760467033.0,24000.0,12.8,50.6,58.9,25876380.0,0.09,76.1,14741256.0,7.369722
32,Canada,1736425629520.0,72000.0,68.9,4.3,81.9,36991981.0,2.61,65.1,30628482.0,56.130366
33,Central African Republic,2220307369.0,8000.0,3.0,84.5,52.8,4745185.0,0.06,72.0,1982064.0,6.611111
34,Chad,11314951343.0,35000.0,3.3,71.4,54.0,15946876.0,0.04,70.7,3712273.0,15.454166
35,Chile,282318159745.0,122000.0,88.5,6.2,80.0,18952038.0,2.59,62.6,16610135.0,-35.675147
36,China,19910000000000.0,2695000.0,50.6,7.4,77.0,1397715000.0,1.98,68.0,842933962.0,35.86166
37,Colombia,323802808108.0,481000.0,55.3,12.2,77.1,50339443.0,2.18,68.8,40827302.0,4.570868
39,Republic of the Congo,10820591131.0,12000.0,12.7,36.2,64.3,5380508.0,0.12,69.4,3625010.0,-0.228021
40,Costa Rica,61773944174.0,10000.0,55.2,7.6,80.1,5047561.0,2.89,62.1,4041885.0,9.748917
41,Croatia,60415553039.0,18000.0,67.9,4.0,78.1,4067500.0,3.0,51.2,2328318.0,45.1
42,Cuba,100023000000.0,76000.0,41.4,3.7,78.7,11333483.0,8.42,53.6,8739135.0,21.521757
43,Cyprus,24564647935.0,16000.0,75.9,1.9,80.8,1198575.0,1.95,63.1,800708.0,35.126413
44,Czech Republic,246489245495.0,23000.0,64.1,2.7,79.0,10669709.0,4.12,60.6,7887156.0,49.817492
45,Democratic Republic of the Congo,47319624204.0,134000.0,6.6,68.2,60.4,86790567.0,0.07,63.5,39095679.0,-4.038333
46,Denmark,348078018464.0,15000.0,80.6,3.6,81.0,5818553.0,4.01,62.2,5119978.0,56.26392
47,Djibouti,3318716359.0,13000.0,5.3,49.8,66.6,973560.0,0.22,60.2,758549.0,11.825138
49,Dominican Republic,88941298258.0,71000.0,59.9,24.1,73.9,10738958.0,1.56,64.3,8787475.0,18.735693
50,Ecuador,107435665000.0,41000.0,44.9,12.2,76.8,17373662.0,2.04,68.0,11116711.0,-1.831239
51,Egypt,303175127598.0,836000.0,35.2,18.1,71.8,100388073.0,0.45,46.4,42895824.0,26.820553
52,El Salvador,27022640000.0,42000.0,29.4,11.8,73.1,6453553.0,1.57,59.1,4694702.0,13.794185
53,Equatorial Guinea,11026774945.0,1000.0,1.9,62.6,58.4,1355986.0,0.4,62.0,984812.0,1.650801
54,Eritrea,2065001626.0,202000.0,3.4,31.3,65.9,6333135.0,0.06,78.4,1149670.0,15.179384
55,Estonia,31386949981.0,6000.0,69.6,2.1,78.2,1331824.0,4.48,63.6,916024.0,58.595272
57,Ethiopia,96107662398.0,138000.0,8.1,39.1,66.2,112078730.0,0.08,79.6,23788710.0,9.145
58,Fiji,5535548972.0,4000.0,16.1,21.6,67.3,889953.0,0.84,57.6,505048.0,-17.713371
59,Finland,268761201365.0,25000.0,88.2,1.4,81.7,5520314.0,3.81,59.1,4716888.0,61.92411
60,France,2715518274227.0,307000.0,65.6,3.4,82.5,67059887.0,3.27,55.1,54123364.0,46.227638
61,Gabon,16657960228.0,7000.0,8.3,32.7,66.2,2172579.0,0.68,52.9,1949694.0,-0.803689
62,The Gambia,1763819048.0,1000.0,2.7,39.0,61.7,2347706.0,0.1,59.4,1453958.0,13.443182
63,Georgia,17743195770.0,26000.0,63.9,8.7,73.6,3720382.0,7.12,68.3,2196476.0,42.315407
64,Germany,3845630030824.0,180000.0,70.2,3.1,80.9,83132799.0,4.25,60.8,64324835.0,51.165691
65,Ghana,66983634224.0,16000.0,15.7,34.9,63.8,30792608.0,0.14,67.8,17249054.0,7.946527
66,Greece,209852761469.0,146000.0,136.6,3.6,81.3,10716322.0,5.48,51.8,8507474.0,39.074208
68,Guatemala,76710385880.0,43000.0,21.8,22.1,74.1,16604026.0,0.35,62.3,8540945.0,15.783471
69,Guinea,13590281809.0,13000.0,11.6,64.9,61.2,12771246.0,0.08,61.5,4661505.0,9.945587
70,Guinea-Bissau,1340389411.0,4000.0,2.6,54.0,58.0,1920922.0,0.13,72.0,840922.0,11.803749
71,Guyana,4280443645.0,3000.0,11.6,25.1,69.8,782766.0,0.8,56.2,208912.0,4.860416
72,Haiti,8498981821.0,0.0,1.1,49.5,63.7,11263077.0,0.23,67.2,6328948.0,18.971187
74,Honduras,25095395475.0,23000.0,26.2,15.1,75.1,9746117.0,0.31,68.8,5626433.0,15.199999
75,Hungary,160967157504.0,40000.0,48.5,3.6,75.8,9769949.0,3.41,56.5,6999582.0,47.162494
76,Iceland,24188035739.0,0.0,71.8,1.5,82.7,361313.0,4.08,75.0,339110.0,64.963051
77,India,2611000000000.0,3031000.0,28.1,29.9,69.4,1366417754.0,0.86,49.3,471031528.0,20.593684
